bin_id,lat,lon,route_id,service_day,capacity_l,service_time_min,base_growth_l_per_day,noise_l,fill_l_today,predicted_fill_pct
1,25.77643458504959,-80.25714752674605,1,Mon,240,2.8,11.18,-1.41,54.49,22.7
2,25.784652902898916,-80.2502940969532,1,Thu,1100,4.69,92.99,-16.75,262.21,23.84
3,25.78747287793915,-80.25818526291589,1,Wed,240,2.84,30.84,9.83,164.05,68.35
4,25.78863961793095,-80.26768095459583,1,Mon,1100,2.69,60.31,21.28,262.51,23.86
5,25.769705793857426,-80.28391141233175,1,Fri,1100,4.42,103.24,-1.57,411.38,37.4
6,25.764510035096055,-80.27490995939858,1,Tue,240,4.81,13.96,-12.26,15.66,6.53
7,25.782563947145896,-80.25280146628916,1,Tue,1100,4.68,409.65,2.86,822.15,74.74
8,25.77375271524963,-80.25843237945894,1,Mon,240,4.32,25.34,4.29,130.97,54.57
9,25.790876600868785,-80.24121738133306,1,Tue,1100,2.79,915.78,17.24,933.01,84.82
10,25.76387373393925,-80.28202426654305,1,Mon,240,2.54,163.81,14.05,177.86,74.11
11,25.793241683548235,-80.25951134846265,1,Tue,240,4.33,70.89,3.38,216.04,90.01
12,25.774259306338973,-80.29343254946141,1,Fri,240,2.4,107.89,-0.49,107.4,44.75
13,25.76850503296088,-80.28179473293042,1,Wed,240,3.74,90.88,-13.26,77.62,32.34
14,25.772412317949854,-80.26311426307274,1,Fri,240,2.37,53.59,-3.28,211.08,87.95
15,25.788067420154,-80.25242668739851,1,Wed,240,3.99,41.6,-2.24,205.75,85.73
16,25.771648046003964,-80.28844052077118,1,Tue,240,3.9,10.0,2.28,23.45,9.77
17,25.76692429029786,-80.26455306269492,1,Thu,1100,3.79,354.29,-5.91,1056.96,96.09
18,25.783619064516433,-80.25609748460332,1,Fri,240,2.33,64.02,-21.47,170.58,71.08
19,25.787303250296667,-80.26271748897888,1,Fri,240,3.82,114.86,-8.77,220.95,92.06
20,25.766122378764543,-80.30849521625262,1,Fri,240,4.6,15.03,-12.87,32.22,13.43
21,25.77745890423129,-80.2656941320843,1,Mon,1100,4.45,25.49,3.42,79.89,7.26
22,25.78008134295916,-80.26842156856353,1,Wed,1100,2.93,131.7,4.35,399.44,36.31
23,25.77214472563259,-80.27453568702813,1,Tue,240,2.46,10.0,2.32,13.73,5.72
24,25.769918835354357,-80.25071472230309,1,Tue,240,3.77,129.33,3.52,132.84,55.35
25,25.775401560397764,-80.26602525145161,1,Tue,240,4.63,55.32,28.14,194.09,80.87
26,25.767789726302837,-80.25390352811593,1,Fri,240,3.71,27.14,-11.12,16.02,6.67
27,25.777165799683726,-80.26132529764533,1,Thu,1100,2.16,179.45,4.54,901.8,81.98
28,25.774595095215695,-80.28368938710747,1,Tue,1100,4.41,143.71,-2.92,715.63,65.06
29,25.765267761556128,-80.29051867121278,1,Wed,240,3.61,35.73,-2.37,176.27,73.45
30,25.784727271489082,-80.24624700530673,1,Thu,240,2.8,15.9,3.28,50.99,21.25
31,25.78527358289316,-80.25675928857986,1,Mon,240,3.1,16.42,-10.53,38.72,16.13
32,25.771136596717724,-80.28342986076532,1,Thu,240,4.85,101.65,11.77,215.08,89.62
33,25.76891491639538,-80.28291045711363,1,Wed,240,4.55,56.88,0.67,171.29,71.37
34,25.785355380443715,-80.25839741755783,1,Fri,240,4.2,23.53,-1.91,68.7,28.62
35,25.783142025045255,-80.2725202849165,1,Thu,240,2.29,34.86,-0.67,103.91,43.3
36,25.767076000045975,-80.29310576742157,1,Tue,1100,4.4,156.55,-6.99,775.75,70.52
37,25.773509298150707,-80.27276617616945,1,Fri,1100,2.76,162.43,-6.52,480.78,43.71
38,25.777815222585037,-80.24220025764093,1,Thu,240,3.72,13.48,0.72,54.65,22.77
39,25.77808240203338,-80.28040994647397,1,Tue,1100,3.48,171.06,-15.82,839.5,76.32
40,25.780658354160096,-80.24387898355891,1,Wed,240,3.97,67.05,8.14,75.18,31.33
41,25.771635681823472,-80.23657070947121,2,Thu,240,3.26,26.93,3.48,30.41,12.67
42,25.756417259273686,-80.21269940135024,2,Tue,1100,3.94,193.02,-3.39,575.66,52.33
43,25.757481502349655,-80.23487012732153,2,Tue,240,3.29,23.09,14.33,129.76,54.07
44,25.75344180340801,-80.24636793138028,2,Mon,1100,4.76,223.66,-7.79,663.2,60.29
45,25.760474228694978,-80.20303747199736,2,Mon,240,4.51,10.6,10.85,21.45,8.94
46,25.767546916216947,-80.23380551622158,2,Wed,240,2.84,16.76,9.36,26.12,10.88
47,25.7725512970254,-80.22436188077815,2,Mon,1100,2.04,266.17,8.95,807.46,73.41
48,25.761479338828845,-80.2117103990116,2,Wed,240,2.36,33.0,24.2,90.21,37.59
49,25.772916217133318,-80.21519130637931,2,Wed,1100,2.93,185.41,0.99,742.62,67.51
50,25.752814924821056,-80.21968212934318,2,Mon,240,2.63,59.11,-6.88,111.33,46.39
